"id","title","text_description","image_path","audio_path","image_filename","image_content_type","audio_filename","audio_content_type","visibility","created_at","updated_at","user_id"
1,"data_1","texto1","13096786-0518-4b0e-a5b5-9e9f275e94a1.jpeg","f922b1ee-de28-41f8-858d-fcbcbc447528.mp3","0001_image.jpeg","image/jpeg","0001_audio.mp3","audio/mpeg","PRIVATE","2025-04-07 19:15:18.922213+00",NULL,1
2,"imagem2","descrição imagem 2","ce52351d-dbe1-4e07-82ce-b9e81da24e83.jpeg",NULL,"0002_image.jpeg","image/jpeg",NULL,NULL,"PRIVATE","2025-04-10 18:24:50.43005+00",NULL,2
3,"imagem3","sadfaf","fe4772ee-a7a8-48c9-a29c-cda946524b75.jpeg",NULL,"0003_image.jpeg","image/jpeg",NULL,NULL,"PRIVATE","2025-04-10 18:28:14.27767+00",NULL,2
5,"Item 0001","É, essa imagem, ela mostra a porção central da elevação do Rio Grande. Uma estrutura que fica localizada no Atlântico Sul, eh, na sua porção oeste e está geologicamente relacionada à abertura do Oceano Atlântico Sul. E teria a sua principal hipótese de origem a pluma Tristan da Cunha e Gough. E essa estrutura, ela teria na porção oeste com a elevação do Rio Grande e uma, uma estrutura correlacionada na porção leste, que é a Cadeia Walvis. Essas duas estruturas são cadeias de montanha, montanhas submarinas, que estão, eh, relacionadas a essa, esse hotspot, essa pluma mantélica, possivelmente. E as duas estruturas seriam correlatas, estariam relacionadas com a movimentação das placas tectônicas. À medida que o oceano foi abrindo e essa, esse hotspot, que é esse ponto fixo do manto que, que, eh, emite esse magma, ele estaria, eh, teria formado essas estruturas. Então, é esse, essas, esse, essa parte A é mostrando a localização da, da elevação do Rio Grande, na, na, no Atlântico Sul. E a parte B é um zoom mostrando a porção central dessa montanha submarina, a elevação do Rio Grande, e também as figuras mostram zonas de fratura que afetam essa região. As três principais são a zona de fratura Rio Grande, a zona de fratura Porto Alegre e a zona de fratura Meteor. A elevação do Rio Grande também foi afetada por um rifte muito expressivo, que foi o rifte Cruzeiro do Sul, que tá sendo mostrado, eh, também nessa imagem. Aí, na parte B, a gente vê o zoom, né? E eu tô mostrando, eh, a movimentação tectônica da zona de fratura Porto Alegre, que teria afetado fortemente a, o rifte Cruzeiro do Sul, e essa porção que será discutida. Eh, são são aí quatro linhas sísmicas que foram utilizadas. Eh, essas linhas sísmicas, elas foram sísmicas de reflexão em conjunto também com o furo de sondagem 516F. O furo, eh, foi obtido no Deep Sea Drilling Project, o DSDP. Eh, as linhas foram obtidas no Instituto de Geofísica da Universidade do Texas, num banco de dados público. Eh, foi feito nessas linhas um processamento, eh, uma migração no software Promax. E interpretação sísmica foi feita no software Open Tect, e o modelo evolutivo geológico no CorelDRAW. Foi feita, eh, uma migração dessas linhas sísmicas que são antigas para se obter novas informações. Eh, foi feita a correlação com as informações do furo de sondagem e a interpretação sismo-estratigráfica e a construção de um modelo evolutivo com evidências tectônicas e buscando sedimentares.","7f5eaade-e4b1-4b62-bd80-79e3770ed9e9.jpeg","429d754d-b039-4590-b9b6-018cf3a21fd4.wav","0001_image.jpeg","image/jpeg","0001_audio.wav","audio/wav","PUBLIC","2025-04-22 13:03:05.06126+00",NULL,2
6,"Item 0002","Essa imagem está mostrando a linha sísmica de reflexão WSA 09, que fica localizada na área de estudo, na encosta da da elevação. Essa linha, assim como todas as demais, elas foram migradas, foi feito uma migração utilizando a técnica por diferenças finitas, a fim de colapsar as difrações e posicionar corretamente os refletores em subsuperfície. Os resultados obtidos foram satisfatórios, né, nas linhas migradas, com significativa melhoria na relação sinal ruído, principalmente em estruturas dômicas e falhadas. Essa linha, ela foi feita uma calibração eh, sísmica em um furo de sondagem na na sua na linha mais próxima desse furo, cerca de 3 km, que foi a linha WSA 13. E essa essa calibração, ela foi extrapolada para as outras linhas, outras três linhas. Então, eu tô mostrando aí a WSA 09, que é a interpretação eh, que contém as unidades litoestratigráficas obtidas no furo da SDP 516F. São sete unidades. Em vermelho, seria o embasamento acústico, nós temos a unidade eh, sete oito, que seria possivelmente no coniaciano, seriam calcários e brechas vulcânicas sobre um basalto. Seria um basalto. E nessa nessas duas unidades seria o embasamento acústico. A unidade seis, em azul, seria no Paleoceno superior, ao Santoniano, Coniaciano, seriam calcários, calcários marinhos e argilito. A unidade cinco, seria em amarelo, no Eoceno médio ao Paleoceno superior, são calcários microcristalinos. A unidade quatro, em verde, seria no Eoceno médio, nanofósseis, foraminíferos, giz e calcários com turbiditos e camadas de cinzas. Na unidade três, em rosa, é o Oligoceno inferior ao Eoceno inferior. São nanofósseis e foraminíferos, nanofósseis giz. Na unidade dois, eh, do Mioceno superior ao Oligoceno inferior, são foraminíferos, nanofósseis, semiconsolidados, oóse e giz, né? Na unidade um, seria em vermelho, em, perdão, na unidade dois, que seria em laranja, que eu não não disse, né? Essa do Mioceno superior ao Oligoceno inferior, e a e a unidade um, em vermelho, eh, do recente ao Mioceno superior. Seriam foraminíferos e nanofósseis, oóse. Então, essas seriam as unidades foram as unidades identificadas no pacote sedimentar, nesta porção da elevação do Rio Grande, acima de um embasamento acústico basáltico. Então, esta imagem tá mostrando a interpretação eh, da linha. Essa linha, essa sísmica que tá sendo mostrada na parte A, é a sísmica já migrada. A interpretação dos pacotes, né, das unidades, tá sendo mostrada, é a posição da linha também aqui, tá sendo mostrada a WSA 09, aqui na encosta. Nós podemos eh, destacar nessa interpretação um rifte abortado com reativação recente, na na porção a oeste, né? Um conjunto de falhas normais deformando o pacote sedimentar, que é muito observado, né, e fruto dessa tectônica distensional, eh, muito expressiva que afetou essa região. E, eh, esse rifte abortado estaria relacionado a uma reativação dessa tectônica distensional recente. Outra coisa que se observa, eh, é o embasamento de hiperrefletor, que seriam, eh, refletores inclinados, associado ao soerguimento com o vulcanismo, que marcou o embasamento dessa dessa dessa estrutura. E ainda um grande destaque são para possivelmente, eh, camadas com gás, uma camada com gás, no que que que seriam os pockmarks no fundo oceânico, seria essa eh, essa eh, essas essas estruturas que nós observamos com gás.","cb709865-f9be-4910-8da4-125599f39344.jpeg","87a845fa-22e1-4bec-a434-3cdeaedaaff8.wav","0002_image.jpeg","image/jpeg","0002_audio.wav","audio/wav","PUBLIC","2025-04-22 13:03:05.171966+00",NULL,2
7,"Item 0003","Essa imagem, ela está cruzando uma importante estrutura na elevação, que é o Rift de Cruzeiro do Sul. É uma estrutura distensional, muito importante, e essa linha, ela mostra os blocos falhados nessa, nessa tectônica, ou em resultado dessa abertura, dessa, desse rift. Nela, nós observamos também, né, as unidades obtidas no furo 516F, a unidade eh, do embasamento, as duas do embasamento, a unidade azul, que é a seis, a unidade amarela, que é a cinco, a unidade verde, que é a quatro, a unidade rosa, que é a três, a unidade vermelha, é laranja, que é a, é a dois, e a unidade do Pleistoceno, é, Mioceno, né? Que é a um, ela tá em preto. Eu falei anteriormente da, que seria essa unidade um em vermelho, mas na verdade tá em preto. Então essa linha, a gente destaca, né? Aqui na interpretação dela, os blocos falhados no Rift de Cruzeiro do Sul, e uma sequência sedimentar parcialmente erodida a nordeste, que possivelmente esteja associada a um soerguimento com o vulcanismo no Eoceno. E ainda, eh, eh, eh, a gente observa essa erosão e possivelmente também, eh, essa, eh, esses efeitos de, dessa erosão, né? Na, no pacote sedimentar.","bf2ba7b3-2ca6-4579-81d4-410d0279d26c.jpeg","9620d0b6-6d5d-4fc4-8f3d-b070186d152e.wav","0003_image.jpeg","image/jpeg","0003_audio.wav","audio/wav","PUBLIC","2025-04-22 13:03:05.23273+00",NULL,2
8,"Item 0004","Anteriormente, eu falei na imagem três da linha sísmica WSA 10. Agora, eu vou tratar na imagem quatro da linha sísmica WSA 11. Nela, nós observamos também as unidades eh, litoestratigráficas observadas no furo da DSDP, furo 516F. A localização das linhas, todas essas quatro linhas que eu estou mostrando, está nesse mapinha aqui à esquerda, abaixo, na esquerda. E essa 11, ela está cruzando a linha WSA 13, que é a mais próxima do furo. Então, também foi feita, né, essa extrapolação dessas unidades litoestratigráficas nesses pacotes que eu estou mostrando. Nessa linha específica, a WSA 11, eu posso destacar um conjunto de mounts e falhas normais. Essas construções, a principal hipótese seria vulcanismo, o vulcanismo no Eo-Ceno. E também o intraembasamento de reflexos. Esses refletores inclinados no embasamento, que também estariam associados a um soerguimento com o vulcanismo.","b0f0b389-66db-4b07-a912-89e541c74da3.jpeg","64953fcf-c1a7-468d-8ce1-7f9198c5974c.wav","0004_image.jpeg","image/jpeg","0004_audio.wav","audio/wav","PUBLIC","2025-04-22 13:03:05.2877+00",NULL,2
9,"Item 0005","Essa é a linha WSA 13 na imagem 5. Essa é a linha mais próxima do furo TDP 516 F. Essa foi a linha utilizada para calibrar a sísmica com as informações do furo. Essa linha, ela, assim como as outras, teve uma expressiva melhoria na relação sinal-ruído após a migração. Eh, a localização dela está sendo mostrada no mapa, no canto inferior à esquerda, né? Também nesta linha, assim como na WSA 11, foram observados préssimos, mounds, um conjunto de mounds que acima tem, também falhas normais. E essas estruturas estariam associadas à intrusão vulcânica no Eoceno, possivelmente. Também embasamento de p-refletores, que são refletores inclinados do embasamento que sugerem que essa estrutura, a elevação do Rio Grande, essa montanha submarina, possivelmente foi formada num contexto de extrusão vulcânica, ou seja, de de vulcanismo. Por isso que ela é formada, à medida que é soerguida, e aí o embasamento ele mostra essas estruturas inclinadas, e refletores inclinados.
","2c7856e6-4139-4028-9ffe-38dc8bf95b1a.jpeg","3f6f9622-3d40-415f-b20f-9159e4546f5e.wav","0005_image.jpeg","image/jpeg","0005_audio.wav","audio/wav","PUBLIC","2025-04-22 13:03:05.345028+00",NULL,2
10,"Item 0006","Na imagem seis, está sendo mostrado um perfil ao longo das linhas WSA9, WSA10 e WSA13, que é um perfil ao longo de 330 km, que atravessa, né, essa estrutura, esse essa montanha, né, submarina, essa porção central. E ela passa pelo Rift de Cruz do Sul. Ela, a gente pode observar aí, um rifte abortado, né? Eh, a oeste, que seria aí associado a, possivelmente a uma reativação tectônica distensional ou até mesmo a outras questões, né? Como eh um paleocanal e isso é uma questão a ser discutida. Também nessa encosta oeste, observado falhas e hipo marcas, evidências de hipo marcas, gás, presença de gás. Também a zona de fratura Porto Alegre, ela é identificada dentro do pacote, eh, ela é observado, né, o seu, as a sua estrutura, né? A movimentação dela. E também, eh, a ocorrência de mounds, estas estruturas eh vulcânicas mais ao norte, né? Que seriam estariam associadas a esse vulcanismo, essa intrusão vulcânica no Eoceno.","a4fe9309-7449-4a2d-8a2c-a8a2c7d3acf3.jpeg","9f82fb62-5fa9-49a8-ad96-a471d0c956df.wav","0006_image.jpeg","image/jpeg","0006_audio.wav","audio/wav","PUBLIC","2025-04-22 13:03:05.396061+00",NULL,2
41,"Item 0039","Nesta imagem, eh, estou mostrando eh, uma seção em profundidade, mostrando o empilhamento dos traços de função do receptor para cada estação, calculados para um DAP, utilizando aquela técnica mostrada de binagem, com os picking points. Também mostro a quantidade de funções, de traços, né, obtidos em cada estação, em vermelho. Podemos observar já alguma variação da profundidade em que acontece eh, essa, eh, essa, esse pico de amplitude da descontinuidade de 410 e de 660 km.
","f4ff5d61-1424-4978-aa35-af14bb7d7acf.jpeg","42b80668-6407-4b46-ac7d-9f7eae0e3d45.wav","0039_image.jpeg","image/jpeg","0039_audio.wav","audio/wav","PUBLIC","2025-04-22 13:03:06.711958+00",NULL,2
